EventType,Rate
"SEQ(F, D, E)",3288,0.0
"SEQ(F, D, E)",3289,0.0
"SEQ(F, D, E)",3290,0.0
"SEQ(F, D, E)",3291,0.0
"SEQ(F, D, E)",3292,0.0
"SEQ(F, D, E)",3293,0.0
"SEQ(F, D, E)",3294,0.0
"SEQ(F, D, E)",3295,0.0
"SEQ(F, D, E)",3296,0.0
"SEQ(F, D, E)",3297,0.0
"SEQ(F, D, E)",3298,0.0
"SEQ(F, D, E)",3299,0.0
"SEQ(F, D, E)",3300,0.0
"SEQ(F, D, E)",3301,0.0
"SEQ(F, D, E)",3302,0.0
"SEQ(F, D, E)",3303,0.0
"SEQ(F, D, E)",3304,0.0
"SEQ(F, D, E)",3305,0.0
"SEQ(F, D, E)",3306,0.0
"SEQ(F, D, E)",3307,0.0
"SEQ(F, D, E)",3308,0.0
"SEQ(F, D, E)",3309,0.0
"SEQ(F, D, E)",3310,0.0
"SEQ(F, D, E)",3311,0.0
"SEQ(F, D, E)",3312,0.0
"SEQ(F, D, E)",3313,0.0
"SEQ(F, D, E)",3314,0.0
"SEQ(F, D, E)",3315,0.0
"SEQ(F, D, E)",3316,0.0
"SEQ(F, D, E)",3317,0.0
"SEQ(F, D, E)",3318,0.0
"SEQ(F, D, E)",3319,0.0
"SEQ(F, D, E)",3320,0.0
"SEQ(F, D, E)",3321,0.0
"SEQ(F, D, E)",3322,0.0
"SEQ(F, D, E)",3323,0.0
"SEQ(F, D, E)",3324,0.0
"SEQ(F, D, E)",3325,0.0
"SEQ(F, D, E)",3326,0.0
"SEQ(F, D, E)",3327,0.0
"SEQ(F, D, E)",3328,0.0
"SEQ(F, D, E)",3329,0.0
"SEQ(F, D, E)",3330,0.0
"SEQ(F, D, E)",3331,0.0
"SEQ(F, D, E)",3332,0.0
"SEQ(F, D, E)",3333,0.0
"SEQ(F, D, E)",3334,0.0
"SEQ(F, D, E)",3335,0.0
"SEQ(F, D, E)",3336,0.0
"SEQ(F, D, E)",3337,0.0
"SEQ(F, D, E)",3338,0.0
"SEQ(F, D, E)",3339,0.0
"SEQ(F, D, E)",3340,0.0
"SEQ(F, D, E)",3341,0.0
"SEQ(F, D, E)",3343,0.0
"SEQ(F, D, E)",3344,0.0
"SEQ(F, D, E)",3345,0.0
"SEQ(F, D, E)",3346,0.0
"SEQ(F, D, E)",3347,0.0
"SEQ(F, D, E)",3348,0.0
"SEQ(F, D, E)",3349,0.0
"SEQ(F, D, E)",3350,0.0
"SEQ(F, D, E)",3351,0.0
"SEQ(F, D, E)",3352,0.0
"SEQ(F, D, E)",3353,0.0
"SEQ(F, D, E)",3354,0.0
"SEQ(F, D, E)",3355,0.0
"SEQ(F, D, E)",3356,0.0
"SEQ(F, D, E)",3357,0.0
"SEQ(F, D, E)",3358,0.0
"SEQ(F, D, E)",3359,0.0
"SEQ(F, D, E)",3360,0.0
"SEQ(F, D, E)",3361,0.0
"SEQ(F, D, E)",3362,0.0
"SEQ(F, D, E)",3363,0.0
"SEQ(F, D, E)",3364,0.0
"SEQ(F, D, E)",3365,0.0
"SEQ(F, D, E)",3366,0.0
"SEQ(F, D, E)",3367,0.0
"SEQ(F, D, E)",3368,0.0
"SEQ(F, D, E)",3369,0.0
"SEQ(F, D, E)",3370,0.0
"SEQ(F, D, E)",3371,0.0
"SEQ(F, D, E)",3372,0.0
"SEQ(F, D, E)",3373,0.0
"SEQ(F, D, E)",3374,0.0
"SEQ(F, D, E)",3375,0.0
"SEQ(F, D, E)",3376,0.0
