EventType,Rate
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
"SEQ(F, D, E)",0.0
